key,value
final_absorbance,0.10971014492753624
final_braid_entropy,nan
final_braid_reduced_length,247.0
final_braid_writhe,39.0
final_conductivity_proxy,0.005632130622491232
final_debye_length_nm,1.363304419730353
final_dirac_gap,0.29499186922784865
final_energy,-121.70016148155736
final_gamma_cl,0.8216516294076941
final_gamma_mean,0.8216516294076941
final_gamma_na,0.8216516294076941
final_ionic_strength,0.0498161720152154
final_laplacian_gap,0.08702020291053786
final_ncg_smoothness,1.0960475718320453
final_reward,-0.7115532879606534
initial_energy,-80.14046273507964
min_energy,-121.70016148155736
n_steps,250
run_dir,runs/example_water_nacl
run_name,example_water_nacl
